seed_id,question,answer
33,"Ten points are randomly and independently generated with a uniform distribution inside a circle. Denote the probability that the center of the circle lies outside the convex hull of these ten points as \(p = \frac{m}{n}\), where \(m\) and \(n\) are coprime. Find \(n - m\).",251
34,"A coin is randomly drawn from a population. The probability that this coin shows heads when tossed once is \(p\), and \(p\) follows a uniform distribution \(U[0,1]\). Subsequently, this randomly drawn coin is tossed repeatedly for a total of 256 times. Let \(p = \frac{m}{n}\) be probability of getting exactly 128 heads where \(m\) and \(n\) are positive coprime integers. Find \(m+n\).",258
35,"There is a function \( g: \mathbb{N} \times \mathbb{N} \to \mathbb{N} \) such that \( g(0,0) = 0 \), and for any \( x, y \in \mathbb{N} \), there exists \( n \in \mathbb{N} \) such that
\[\{g(x,y), g(x,y+1), g(x+1,y)\} = \{n, n+1, n+2\}.\]
Let \(S\) be the set of all possible values of \( g(4000, 4036) \). Find the 100-th smallest value of \(S\).",297
36,"Nine balls numbered \(1, 2,\cdots,9\) are randomly placed on the nine equally-divided points of a circle, with one ball at each point. Let \(S\) be the sum of the absolute values of the differences between the numbers of all adjacent pairs of balls on the circle. Find the reciprocal of the probability of the placement method that makes \(S\) reach the minimum value. (Note: If a certain placement method can coincide with another placement method after rotation or mirror reflection, they are considered the same placement method.)",315
37,"For a positive integer \(n\), sort all the \(l\) positive factors of \(n\) as \(d_1, d_2, \cdots, d_l\) from smallest to largest. If there exist positive integers \(i, j \in\{1,2, \cdots, l\}\), such that \(d_8^2+d_i^2=d_j^2\), find the minimal value of \(n\)．",360
38,\(m\) distinct positive even numbers and \(n\) distinct positive odd numbers sum up to 2025. Find the maximal value of \(5m+7n\) among all such \(m\) and \(n\).,384
39,"Bob has a convex 735-gon in the plane and
wishes to construct the centroid of its vertices. He has no standard ruler or compass, but
he does have a device with which he can dissect the segment between two given points
into m equal parts. For how many \(m \in [9, 81256]\) can Bob necessarily accomplish his task?",386
4,"For any positive integer \(n\geq2\), we define \(f(n)\) as the last non-zero digit of \(n!\) in the decimal system. It is known that \(k\) is the fifth smallest positive integer that satisfies the following condition: for any positive integer \(n\geq2\), \(f(kn) = f(n)\) always holds. How many digits does \(k\) have in the decimal system?",12
40,"For two sets \(A\) and \(B\), the set \(A\Delta B=\{x|x\in A\text{ and }x\notin B\}\cup\{x|x\in B\text{ and }x\notin A\}\) is defined. Let \(A_1,A_2,\cdots,A_{2^{312}}\) be all the subsets of \(S = \{1,2,\cdots,312\}\), and \(M\) be a number table with \(2^{312}\) rows and \(2^{312}\) columns. For any \(i,j\in\{1,2,\cdots,2^{312}\}\), the sum of all the elements in the set \(A_i\Delta A_j\) (it is agreed that the sum of the elements of the empty set is \(0\)) is filled in the position of the \(i\)-th row and \(j\)-th column of the number table \(M\). Find the remainder when the sum of all the numbers in the number table \(M\) is divided by \(1000\).",424
41,"Real numbers \(x_1,x_2,\cdots,x_n\) satisfy \(|x_1|+|x_2|+\cdots+|x_{3526}| = 1\). Let \(M\) be the maximal possible value of \(\frac{1}{|x_1|+|x_1 - x_2|+|x_1 + x_2 - x_3|+\cdots+|x_1 + x_2+\cdots+x_{3525}-x_{3526}|}\). Find \(M \mod 1000\).",432
42,"Given \(x_1^2+y_1^2+z_1^2=1,6 x_2+3 y_2+2 z_2=12\), where \(x_1, y_1, z_1 \in \mathbb{R}, x_2, y_2, z_2 \in(0,+\infty)\). Let the minimal value of \(\max \left\{\left|x_2-x_1\right|,\left|y_2-y_1\right|,\left|z_2-z_1\right|\right\}\) be \(x\), Find the largest integer which is smaller than \(1000 \cdot x\).",454
43,"A \(12\times12\) matrix \(A\) satisfies that each row has exactly \(6\) elements equal to \(1\) and \(6\) elements equal to \(0\). Then, how many matrices \(A\) are there such that \(A^{2}+6A\) is a matrix with all elements equal to \(6\)?",462
44,"Let \(\mathbb{F}_{2027}\) be the field of residues modulo \(2027\). Let \(W\) be the smallest set of polynomials with coefficients in \(\mathbb{F}_{2027}\) such that the polynomials \(x+1\) and \(x^{2025}+x^{2024}+\cdots+x^2+2x+1\) are in \(W\), and for any polynomials \(h_1(x)\) and \(h_2(x)\) in \(W\), the polynomial \(r(x)\), which is the remainder of \(h_1(h_2(x))\) modulo \(x^p-x\) is also in \(W\). Let \(N\) be the number of polynomials in \(W\). How many consecutive zeros are there at the end of the decimal representation of \(N\)?",505
45,"For every real number \(x\), let \(f(x)=\sum_{n\in S_x}\frac{1}{2^n}\), where \(S_x\) is the set of positive integers \(n\) such that\(\lfloor nx\rfloor\) is even. Let\(L_{max}\) be the largest real number such that \(f(x)\geq L\) for all \(x\in[0, 1)\). Find the largest integer which is smaller than \(1000 \cdot L_{max}\).",571
46,"Consider a pair of integers \(a, b\) such as \(a^2+b^2 \leq 19\), and there exists real numbers \(x, y\) such that \(\frac{a}{\sqrt{x}}+\frac{2}{y+3 x}=\frac{b}{\sqrt{y}}-\frac{2}{y+3 x}=1\)．Find the square of the numbers of ordered pair \((a, b)\) satisfying the aforementioned property.",576
47,"Find the minimal number \(C\) satisfying：
\[
\sum_{0 \leq i,j \leq n} 4^{i+j+1} C_{i+j}^i x_i x_j+\sum_{0 \leq i \leq n} x_i \geq -\frac{1}{4144}C 
\]
for all positive integers \(n\) and \(x_0, x_1, \cdots, x_n \in \mathbb{R}\).",592
48,"Consider positive integers \(a_1<a_2<\cdots<a_{38}\) satisfying \(a_1+a_2+\cdots+a_{38}=1997\). Let \(b_k=\min \left\{a_1+a_2+\cdots+a_k, a_{k+1}+a_{k+2}+\cdots+a_{38}\right\}\). Let \(S=\max \left\{b_1, b_2, \cdots, b_{37}\right\}\). Find the minimal value of \(S\)．",666
49,"Arrange the numbers \(1, 2,\dots,333^{2}\) into a \(333\times333\) number table, with each number appearing exactly once. Calculate the ratio of the larger number to the smaller number for every pair of numbers in the same row or the same column. The smallest value among these \(333^{2}\times332\) ratios is called the characteristic value of this number table. Let the maximum possible value of the characteristic value be \(\lambda=\frac{\alpha}{\beta}\), where \(\alpha\) and \(\beta\) are coprime. Find \(\alpha + \beta\).",667
5,"How many integers \(k\in[2,18676]\) are there such that the number of positive integer triples \((n,a,b)\) satisfying the following conditions is finite: \(n\) is odd, \(\gcd(a,b) = 1\), \(a + b=k\), and \(n\mid a^{n}+b^{n}\)?",14
50,"Let the radius of the circle \(O\) be \(r = 1\), and \(M\) be a point on the edges of regular dodecagon (12-sided polygon) inscribed in the circle \(O\). \(E\) and \(F\) are a pair of diametrically opposite points on the circle \(O\). Let \(S=\min\{\overrightarrow{MF}\cdot\overrightarrow{ME}\}\). Find the value of \(\lceil- 10000\times S\rceil\).",670
51,"For a finite non-empty set \(X\) of real numbers, denote the number of elements in \(X\) as \(\vert X\vert\), and \(f(X)=\frac{1}{\vert X\vert}(\sum_{a\in X}a)\). The pair of sets \((A,B)\) satisfies \(A\cup B = \{1, 2, \cdots, 200\}\), \(A\cap B=\varnothing\), and \(1\leq\vert A\vert\leq198\) and \(2\leq\vert B\vert\leq199\). For any \(p\in B\), let \(A_p = A\cup\{p\}\) and \(B_p=\{x\vert x\in B,x\neq p\}\). For all \((A,B)\) that satisfy the above conditions and \(p\in B\), find the maximum value of \((f(A_p)-f(A))\cdot(f(B_p) - f(B))\). If it is in fraction form, calculate the sum of the numerator and the denominator of the irreducible fraction.",724
52,There is a sphere with radius \(\sqrt{6}/36\) moving freely inside a tetrahedron with side length 1. Let \(V\) be the volume of the reachable regions of the center of the sphere. Find  \(\lfloor 1/V^2 \rfloor\).,820
53,"Find the minimal positive integer \(n \geqslant 866\) satisfying: there exists a bijection \(f\) from \(\{1,\cdots,n\}\) to itself, such that for any \(x,y\in\{1,\cdots,n\}\), if \(n\) divides \(866x - y\) then \((n + 1)\mid f(x)^{866} - f(y)\).",876
54,"Let \(x_i=\frac{i}{1771}(i=0,1, \cdots, 1771)\), \(S=\sum_{i=0}^{1771} \frac{x_i^5}{5 x_i^4-10 x_i^3+10 x_i^2-5 x_i+1}\), Find \(S\).",886
55,"Given non-negative real numbers \(x, y, z\) satisfying \(\sqrt{x^2+y^2}+z=1\), for positive real number \(k\), define \(f(k)\) as the maximal value of \(4(xy+kxz)\). Find the largest integer no more than \(f^2(1)+3f^2(2)+8f^2(3)+15f^2(4)+24f^2(5)\).",979
56,"Let \(I_{n}=\int_{0}^{\frac{\pi}{2}}\frac{\sin^{2}(nt)}{\sin t}dt\), find the largest integer smaller than \(1000 \times \lim_{n\rightarrow\infty}\frac{I_{n}}{\log_10{n}}\).",1151
57,"Find the minimal constant \(k\), such that for any positive real numbers \(x,y,z\), the inequality \(\frac{x}{\sqrt{x+y}}+\frac{y}{\sqrt{y+z}}+\frac{z}{\sqrt{z+x}}\leq \frac{k}{1000}\sqrt{x+y+z}\) always hold true.",1250
58,"Given 1893 people and 66 kinds of shapes. Each person holds one cookie of each of the 66 shapes, and the total mass of these 66 cookies is 1 (the mass of each cookie is a positive real number; the masses of cookies of the same shape held by different people can be different). Let \(C\) be the smallest positive real number such that it is always possible to select one cookie from each person, satisfying that for each kind of shape among the selected cookies, the total mass of cookies of this shape does not exceed \(C\). Suppose \(C\) is written in the form of the simplest fraction \(\frac{q}{p}\), find the value of \(p + q\).",1403
59,"Let \(S = \{1,2,\cdots,6172\}\) and \(M\) is the number of functions \(f:S\rightarrow S\) that satisfy the following conditions: 
(1) \(f\) is a one-to-one mapping. 
(2) For any positive integer \(a\), (\(1\leq a\leq6172\)), \(f(a)+f^{-1}(a)=6173\) holds, where \(f^{-1}\) is the inverse function of \(f\). 

Find the value of \(k\) where \(M=2^{k}\).",1543
6,"There are 60 real numbers \(a_1, a_2, \cdots, a_{60}\) satisfying \(a_1 + a_2+\cdots + a_{60}=0\), and for any \(1\leqslant i\leqslant 60\), \(\vert a_i - a_{i + 1}\vert\leqslant 1\) (\(a_{61}=a_1\)). If \(a = a_{12}\), \(b = a_{24}\), \(c = a_{36}\), \(d = a_{48}\), \(e = a_{60}\). Find the maximum value of \(a + b + c + d+e\) .",15
60,"Find the smallest positive integer \(t\), such that for any real numbers \(a_1, a_2, \cdots, a_{4467}\), the inequality \(\max(|a_1|, |a_2|, \cdots, |a_{4467}|) \leq t \cdot \max(|a_1 + a_2|, |a_2 + a_3|, \cdots, |a_{4466} + a_{4467}|, |a_{4467} + a_1|)\) always hold true.",2234
61,"\(x_1,x_2,\dots,x_{2025}\) are positive real numbers. Let \(M\) be the minimal value of \(\max\{x_1,\frac{1}{x_1}+x_2,\dots,\frac{1}{x_{2024}}+x_{2025},\frac{1}{x_{2025}}+1\}\). Suppose the a polynomial \(F(x)\) with integer coefficients can be divided by \(x^2 - M x + 1\), find the minimal degree of \(F(x)\).",2304
62,"In a \(60\times60\) square grid of cells, the integers \(1, 2,\cdots,3600\) are filled in such a way that the sum of the numbers in every two adjacent cells (cells that share a common side are called adjacent) is not less than \(S\). Try to find the maximum value of \(S\).",3571
63,Let non-real complex number \(z\) satisfying \(z^{4051}+z^{4050}+5=0\). Find the number of such \(z\)'s (multiplicity are counted)．,4050
64,"Let \(P(x),Q(x)\) be distinct 4046-degree real polynomials with non-zero coefficients. Let \(r\) be the number of their common real roots (multiplicity counted) and \(s\) be the number of their common terms. Find the maximum possible value of \(r + s\).",6068
65,"A regular octagon is divided into 8 regions, namely \(A\), \(B\), \(C\), \(D\), \(E\), \(F\), \(G\), and \(H\) by connecting the center point with each vertex. Now we place one ball in each region. There are a total of four different colors of balls, and there are infinitely many balls of each color. It is required that balls of the same color cannot be placed in adjacent regions. Find out how many ways there are to place the balls in total. Note that the rotationally or reflectively symmetric ways are NOT considered equivalent.",6564
66,"There are 100 observers inside a finite circular playground (the positions of any two observers are different). Each observer has a viewing angle of \(100^{\circ}\) and can observe all the other observers within its viewing angle range (including those on the two sides of the angle) inside the playground. (Each observer is regarded as a point, and these 100 observers are in the same plane.) For \(i = 1, 2,\cdots,100\), let \(a_i\) be the number of all the observers other than itself that the \(i\)-th observer can observe. Find the maximum value of \(\sum_{i = 1}^{100}a_i\).",8700
67,"Denote \(x\succ y\) as \(0\lt x - y\leqslant9\) or \(y - x\gt9\). Let \(a,b,c,d\in\{1,2,\cdots,19\}\). For the cases where \(a\succ b\), \(b\succ c\), \(c\succ d\) and \(d\succ a\), find out how many such four-tuples \((a,b,c,d)\) there are.",9120
68,"Let \(x_k\in [-2,2],k=1,2\dots,4698\) satisfying \(x_1+x_2+\dots +x_{4698}=0\). Find the maximal value of \(M=x_1^3+x_2^3+\dots +x_{4698}^3\).",9396
69,"The rectangle \(R\) is divided into 2024 small rectangles, and the sides of each small rectangle are parallel to the sides of \(R\). The vertices of the small rectangles are called nodes. A line segment on the sides of the small rectangles, if both of its endpoints are nodes and there are no other nodes inside it, is called a fundamental line segment. Considering all the ways of division, find the sum of the maximum value and the minimum value of the number \(N\) of fundamental line segments.",10211
7,"At least how many black stones should be placed on a 9×9 square grid board to ensure that there is no possibility for the white to make a five-in-a-row? (which means there are no five consecutive empty squares in a row, in a column, or five consecutive empty squares along a diagonal among the remaining empty squares). Note that empty square here means a square with no black stone in it and each square can only be filled with no more than 1 black stone.",16
70,"Let \(G\) be a 160-order simple graph. For any vertex \(u\), there exists another vertex \(v\), such that \(u\) and \(v\) are adjacent, and there exists no vertices adjacent to both \(u\) and \(v\). Find the maximal number of edges in \(G\).",10320
71,Choose a subset of integers from 1 to 15 such that no three consecutive integers are in the chosen set (you can choose an empty set). How many different sets are there?,10609
72,"Let \(\mathbb{Z} / n\mathbb{Z}\) be the set of all integers modulo \(n\) (hence \(\mathbb{Z} / n\mathbb{Z}\) contains \(n\) elements). Find the second smallest composite number \(n\), such that there exists a bijective function \(g:\mathbb{Z} / n\mathbb{Z} \to \mathbb{Z} / n\mathbb{Z}\) such that the \(101\) functions \(g(x), g(x)+x, g(x)+2x, \cdots, g(x)+100x\) are all bijective from \(\mathbb{Z} / n\mathbb{Z}\) to \(\mathbb{Z} / n\mathbb{Z}\).",11021
73,"The Bank of Pittsburgh issues coins that have a heads side and a tails side. Vera
has a row of 7873 such coins alternately tails-up and heads-up, with the leftmost
coin tails-up.
In a move, Vera may flip over one of the coins in the row, subject to the following
rules:
• On the first move, Vera may flip over any of the 7873 coins.
• On all subsequent moves, Vera may only flip over a coin adjacent to the coin
she flipped on the previous move. (We do not consider a coin to be adjacent
to itself.)
Determine the smallest possible number of moves Vera can make to reach a state in
which every coin is heads-up.",15744
74,"Among all the lattice points \((x, y)\) where \(1\leqslant x\leqslant9973\) and \(1\leqslant y\leqslant9973\), some lattice points are to be selected. The restrictive condition is that among the selected lattice points, no four points can form an isosceles trapezoid (a rectangle is also regarded as an isosceles trapezoid) with the base parallel to either the \(x\)-axis or the \(y\)-axis. So, what is the maximum number of lattice points that can be selected?",24931
75,"Each edge of the complete graph \(K_{9097}\) is labeled with \(1\), \(2\), or \(3\) such that the sum of the labels of any triangle (formed by three edges) is at least \(5\). Given that the minimum possible value of the average of all \(\binom{9097}{2}\) labels can be expressed as a fraction in its simplest form \(\frac{m}{n}\), find the value of \(m + n\).",27290
76,"Integers \(a_1,a_2,\cdots,a_{2025}\) satisfy \(1 = a_1\leq a_2\leq\cdots\leq a_{2025}=199\). Let \(f=(a_1^2 + a_2^2 + \cdots + a_{2025}^2)-(a_1a_3 + a_2a_4 + a_3a_5 + \cdots + a_{2023}a_{2025})\). Find the minimal value of \(f\).",29800
77,"Let \(S\) be the set of integers \(s\) satisfying \(s\geq3456\), and there exists positive integers \(a\), \(b\), \(c\), \(d\) such that \(s = a + b + c + d\) and \(s\) divides \(abc + abd + acd + bcd\). Find the sum of ten smallest elements in (S\).",34628
78,The number of ways to color an \(n \times n\) chessboard with black and white such that no neighboring two blocks can be black simultaneously is \(x_n\). Find \(\sum_{n=2}^5 x_n\)．,56751
79,"The values of the 20 numbers \(a_1, a_2, \cdots, a_{20}\) can be either \(0\) or \(1\). If two adjacent terms \(a_k\) and \(a_{k + 1}\) are \(1\) and \(0\) respectively, then it is called a ""reverse order"". So, how many sequences are there that have exactly 3 ""reverse orders""?",116280
8,"\(n\) students take an exam. There are a total of 6 questions in the exam, and each question has three options. After the exam, it is statistically found that for any two students, the number of questions with the same answers between them is either 0 or 2. What is the maximum value of \(n\)?",18
80,"Real numbers \(x_{1},x_{2},\cdots,x_{1997}\) satisfy the following two conditions: (1)\(-\frac{1}{\sqrt{3}}\leq x_{i}\leq\sqrt{3}\)（\(i = 1,2,\cdots,1997\); (2)\(x_{1}+x_{2}+\cdots +x_{1997}=-318\sqrt{3}\). 
Let \(M\) be the maximal possible value of \(x_{1}^{12}+x_{2}^{12}+\cdots +x_{1997}^{12}\). Find the largest integer no more than \(M\).",189548
81,"Let \(a_1,a_2,...,a_m\) be \(m\) distince positive integers such that \(a_1\cdot a_2\cdot...\cdot a_m\) has 606 prime factors. If the product of any number of terms among \(a_1, a_2, \cdots, a_m\) is not the 607th power of some integer, find the maximal value of \(m\) in an integer form.",367236
82,"There are 1038 equally spaced points on a circular track \(\gamma\) of circumference 1038. The points are labeled \(A_1, A_2, \dots, A_{1038}\) in some order, each label used once. Initially, Bunbun the Bunny begins at \(A_1\). She hops along \(\gamma\) from \(A_1\) to \(A_2\), then from \(A_2\) to \(A_3\), until she reaches \(A_{1038}\), after which she hops back to \(A_1\). When hopping from \(P\) to \(Q\), she always hops along the shorter of the two arcs \(\hat{PQ}\) of \(\gamma\); if \(\bar{PQ}\) is a diameter of \(\gamma\), she moves along either semicircle. Determine the maximal possible sum of the lengths of the 1038 arcs which Bunbun traveled, over all possible labellings of the 1038 points.",537686
83,"Consider pairs \((f, g)\) of functions from the set of nonnegative integers to itself such that \(f(0) \ge f(1) \geq f(2) \geq \cdots \ge f(2016) \ge 0\) and \(f(0)+f(1)+f(2)+\cdots +f(2016) \le 2016\). For any 20 nonnegative integers \(n_{1}, n_{2}, \dots, n_{20}\), not necessarily distinct, we have \[
g(n_{1}+n_{2}+\cdots+n_{20}) \le f(n_{1})+f(n_{2})+\cdots+f(n_{20})
\] 
Determine the maximum possible value of \(g(0)+g(1)+\cdots+g(2016)\) over all such pairs of functions.",794430
84,"Let \(G\) be a \(499\times3997\) grid table, and a number is filled in each cell of \(G\). A rectangular sub-grid table \(S\) of \(G\) is called ""outstanding"" if the number in each cell of \(S\) is greater than the number in each cell outside \(S\) that shares a common vertex with \(S\). The grid table \(G\) itself is also an outstanding sub-grid table. Find the maximum value of the number of outstanding sub-grid tables.",999499
85,"Given positive integer \(n \geq 3\), \(x_1, x_2, \cdots, x_n \in[0,1]\), consider the set \(A=\left\{(i, j)\left|1 \leq i<j \leq n, i, j \in \mathbb{N}^*, i\right| j\right\}\), let \(d(n)\) be the maximum value of \(x_1^4+x_2^4+\cdots+x_n^4-\sum_{(i, j) \in A} x_i^3 x_j^3\). Find \(\sum_{k=3}^{2025} d(k)\).",1026167
86,"Consider a regular 25-prism. By connecting the face diagonals of each lateral face, 25 intersection points are generated, and then the lateral edges are removed. Now, we perform a three-coloring on these 25 intersection points and 50 vertices, where adjacent vertices cannot have the same color. Colorings that coincide after rotation around the central axis are regarded as the same kind. Find the number of coloring methods.",1342182
87,"If there exist positive integers \(a\) and \(b\) (\(a < b\)) such that \(a^{3}=(ka + 1)b + k\), then the integer \(k\) is called ""good"". Then, find the sum of all ""good"" integers \(k\) that do not exceed 1997.",1995002
