variant_id,question,answer
19_prompt02_s01,"Consider the sequence {a_n} defined by a_1 = 19/(19^2+1) and, for all n ≥ 1, by the relation a_n^2 = a_{n+1} − 2 a_n^2 a_{n+1}. Compute the residue of floor(1/a_{327}) modulo 69647.",25444
2_prompt02_s02,Let (a_n) be a real sequence defined for all integers n >= 0 by a_{n+1} = (1 n + 1) 4^{n} - 8 a_n. Determine the minimal possible value of 1/a_0 such that a_{n+1} > a_n holds for every n >= 0.,18
20_prompt01_s01,"Consider the following hyperplane arrangement in R^6. There are exactly 6 axis-parallel families: for each i in {1,...,6}, the family consists of all hyperplanes of the form x_i = constant, with the family sizes given (in order i = 1 to i = 6) by 3, 3, 2, 5, 3, 3. In addition, there are 4 oblique families of hyperplanes whose normals are mutually non-parallel and not parallel to any coordinate axis, with respective family sizes 3, 4, 2, 1. Assume general position in the following precise sense: within any selection of at most 6 distinct families, the set of normal directions is linearly independent; within each family all hyperplanes are distinct and parallel; and no point of R^6 lies on hyperplanes from 7 or more distinct families. Under these hypotheses, how many regions does this entire collection of hyperplanes partition R^6 into? Give your answer as an integer.",160605
21_prompt02_s01,"Let R be the planar region defined by min{|x - 6|, |x + 6|} + 2|y| ≤ 4. Consider the image set S = { (3y - 4) / (-2x - 2) : (x, y) ∈ R }. Assume S has finite total length (its Lebesgue measure on the real line), and write this total length as m/p in lowest terms. Find m + p.",26
22_prompt01_s01,"In three-dimensional space, let ABCD be an isosceles trapezoid inscribed in a sphere with center O, where AB ∥ CD, AB = 4, CD = 6, and AD = BC = 5.0990195135927845. Points E and F vary on segments AD and BC, respectively. It is known that the minimum possible value of the dot product of vectors OE and OF over all such choices of E and F equals -10. Determine the least integer that is greater than the volume of the sphere.",244
23_prompt02_s02,"Consider circular necklaces with 14 positions colored using exactly 3 colors. Two necklaces are considered equivalent if one is a rotation of the other (reflections are not allowed). No color may appear in a run of 5 or more consecutive beads anywhere around the circle. Additionally, the necklace must use at least 3 distinct colors. How many such rotation-equivalence classes are there?",301116
24_prompt01_s03,"In the infinite unit square lattice (checkerboard) of grid spacing 1, a rectangle with side lengths 19/12 and 8/9 is dropped onto the plane with its center uniformly distributed modulo the lattice and its orientation chosen uniformly at random and independently of its position. Let p be the probability that this rectangle does not cover any lattice vertex. Compute floor(1000 * p).",28
25_prompt03_s05,"Let x_1 <= x_2 <= ... <= x_60 be real numbers with x_1 + x_2 + ... + x_60 = 1. Set m = 30 and define
Q = ((sum_{i=1}^{60} |x_i - x_30| + sum_{i=1}^{60} |x_i - x_31|)^2 * sum_{1 <= i < j <= 60} (x_i - x_j)^2) / (sum_{i=1}^{60} x_i^2)^3.
Find the maximum possible value of Q.",128000
26_prompt01_s01,"In a rectangular grid of 33 by 32 unit squares, some squares are selected. In each selected square, you must draw exactly one directed unit segment, chosen to be either the top edge oriented from its top-left corner to its top-right corner (an east arrow) or the right edge oriented from its bottom-right corner to its top-right corner (a north arrow). The constraint is that for any two drawn segments, unless the endpoint (head) of one coincides with the starting point (tail) of the other, both the Euclidean distance between their endpoints and the Euclidean distance between their starting points are at least 2. Determine the maximum possible number of selected squares.",544
27_prompt02_s01,"On a 2771×460 chessboard, a generalized diagonal is a set of squares with no two in the same row or column. Some squares are colored red so that every row has at most 122 red squares and every column has at most 94 red squares. Determine the minimum positive integer n such that for any such coloring, it is always possible to find n generalized diagonals whose union contains all red squares, under the extra constraint that each diagonal contains at most 240 squares.",181
28_prompt02_s03,"Let (a_n)_{n>=1} be an infinite sequence of positive integers with a_1 = 1. Fix two integers 2 >= 2 and 6279 >= 2. Assume the following strengthened sliding-sum divisibility holds simultaneously for two coprime window families: for every positive integer n and every integer k >= 1 we have both (i) a_n divides a_k + a_{k+1} + ... + a_{k+n-1}, and (ii) a_n divides a_k + a_{k+2} + ... + a_{k+(n-1)2} (the sum of n terms with step 2). Let N be the maximal possible value of a_6279 among all such sequences. Compute N modulo 17792.",32
29_prompt01_s02,"Let a1(n) = n^2 - 20 n + 173, a2(n) = n^2 - (20 - 1) n + (173 + 24), and a3(n) = n^2 - (20 + 2) n + (173 + 26). Consider all integers n with |n| ≤ 43 for which a1(n), a2(n), and a3(n) are all prime numbers (primes are taken to be positive integers greater than 1). Among those n, further require that S(n) = a1(n) + a2(n) + a3(n) is a perfect square. Compute the sum of all distinct values of S(n) over all such n.",361
3_prompt01_s02,"In a math contest, a frog starts at 0 and must visit each integer in the set {1, 2, ..., {up_to}} exactly once, in any order. Every jump has length 2^k for some k in {0, 1, ..., 11}, and the direction may be left or right. A cost profile assigns a weight c_k to each allowed jump length 2^k. The total penalty of a route is the sum, over all jumps, of c_k / 2^k for each jump of length 2^k. Given n = 12 and the cost profile (c_0, c_1, ..., c_11) = (6,3,6,5,2,7,2,7,7,9,8,3), determine the minimum possible total penalty over all valid routes.",65
30_prompt01_s01,"Consider a convex polygon with 55 labeled vertices, triangulated by drawing all diagonals from vertex 1 to the other nonadjacent vertices. This produces 53 triangular faces and 107 edges. Each edge is painted in one of 22 colors, of which exactly 12 are designated heavy. For every triangular face, the three edge colors must use exactly two distinct colors, and moreover the color that appears twice on that face must be one of the heavy colors. How many edge-colorings satisfy these conditions? Give your answer modulo 1000000009.",736838599
31_prompt01_s04,"Fix an odd prime 977. Only odd common differences up to 7 are admissible. Consider all positive integers N that can be written as a sum of k consecutive terms of an arithmetic progression with common difference d from the admissible set, for exactly one ordered pair (k, d) with k > 1; furthermore, that unique representation must have length k = 977. Among all such N, determine the minimal possible starting term a of that unique representation.",24
32_prompt02_s01,"Let a, b, c be nonnegative real numbers with a + b + c = 9. For the fixed integers p = 6 (with p >= 2), q = 1 (with q >= 1), and r = 1 (with r >= 1), consider the expression F(a, b, c) = (a^p + b^p + c^p) / ((ab + bc + ca)^q * ((a + b)(b + c)(c + a))^r). Determine the minimum value of F(a, b, c). Express your answer as a reduced fraction m/n, and then compute m + n.",11
33_prompt01_s01,"In Euclidean 8-space, 13 points are chosen independently and uniformly at random inside the unit ball centered at the origin. Let p be the probability that the origin lies outside the convex hull of these points. Writing p in lowest terms as m/n, determine the value of n - m.",397
34_prompt02_s01,"A coin has an unknown heads probability p with prior Beta(3, 1), i.e., a density proportional to p^{alpha-1}(1-p)^{beta-1} on [0,1]. Conditional on p, the coin is tossed in 5 independent blocks, each block consisting of 6 tosses. Let X be the number of blocks that produce exactly 2 heads. Compute the unconditional probability P(X = 2). Express your answer as a reduced fraction m/n and report m+n.",28445862409
35_prompt01_s04,"Consider a function g: N×N → N with g(0,0)=0. Fix integers 4 and 15 with 1 ≤ p < q. For every x,y ≥ 0, both conditions hold:
- The four corner values of the unit square satisfy {g(x,y), g(x+1,y), g(x,y+1), g(x+1,y+1)} = {n, n+4, n+15, n+4+15} for some integer n depending on (x,y).
- The edge increments are monotone and constrained by g(x+1,y) − g(x,y) ∈ { 4, 15 } and g(x,y+1) − g(x,y) ∈ { 4, 15 }.
Let S be the set of all possible values of g(53,95) over all functions g satisfying the above. Determine the 2-th smallest value of S.",1637
36_prompt02_s01,"On a circle with 14 equally spaced points, the balls labeled 1, 2, ..., 14 are randomly placed with one ball per point. Two placements that can be matched by a rotation or a reflection are considered the same. Let S be the sum of the absolute differences of the labels on all adjacent pairs around the circle. Let the shorter cyclic distance between labels 1 and 14 be the number of edges along the shorter arc connecting them; call this distance exactly 2. What is the reciprocal of the probability that, for a uniformly random placement (modulo rotation and reflection), S attains its minimum possible value and, simultaneously, the shorter cyclic distance between 1 and 14 equals 2?",259459200
37_prompt01_s01,"Let n be a positive integer and let its positive divisors be ordered as d1 < d2 < ... < dl. Fix an odd integer 17 that is both a sum of two squares and a nontrivial difference of two squares. Find the minimal value of n such that all of the following hold simultaneously: (1) d_13 = 17; (2) there exist indices i < j with d_i^2 + d_j^2 = d_13^2 and gcd(d_i, d_j) = 1 (so d_13 is the hypotenuse of a primitive Pythagorean triple among the divisors of n); (3) there exist indices p, q with d_13^2 + d_p^2 = d_q^2 and gcd(d_13, d_p) = 1 (so d_13 is the odd leg of a primitive Pythagorean triple among the divisors of n).",354960
38_prompt01_s01,"You are allowed to pick three disjoint sets of distinct positive integers. For the first set, pick exactly a integers that are each congruent to 1 modulo 5 and all at least 16. For the second, pick exactly b integers that are each congruent to 2 modulo 5 and all at least 27. For the third, pick exactly c integers that are each congruent to 4 modulo 5 and all at least 14. All picked integers across the three sets must be pairwise distinct, and their total sum must be exactly 4231. Among all triples (a, b, c) for which such selections are possible, determine the maximum value of 17a + 15b + 4c.",828
39_prompt02_s01,"You are given the vertices of a convex 131769-gon in the plane. The only tool available is a device that, for any two constructed points P and Q, places all m−1 interior points that divide the segment PQ into m equal parts. You may apply this operation repeatedly, but you restrict yourself to constructions in which every constructed point is an affine combination of the original vertices whose coefficients have denominator at most m to the power 2. For how many integers m in the interval [613, 147456] can you necessarily construct the centroid of the 131769 vertices under this restriction?",405
4_prompt03_s01,"Fix an odd prime 11. For each positive integer n, let L_p(n) be the last non-zero digit of n! when written in base 11. Let k_p(t) be the 10-th smallest positive integer k such that L_p(k n) = L_p(n) for all integers n ≥ 1. For the given 11 and 10, how many base-10 digits does k_p(t) have?",19
40_prompt02_s01,"Let S = {1, 2, ..., 78} and list its 2^78 subsets as A_1, A_2, ..., A_{2^78}. For any two subsets, define the symmetric difference A_i Δ A_j. For each ordered pair (i, j), compute z_{i,j} = sum_{x in A_i Δ A_j} (4·x + 13), where the sum over an empty set is 0, and fill the table entry M_{i,j} = 2·z_{i,j}^2 + 3·z_{i,j} + 7. Let T be the sum of all entries M_{i,j} taken only over those pairs with |A_i Δ A_j| ≡ 1 (mod 4). Find the remainder of T when divided by 55203701.",27204906
41_prompt01_s01,"In a math contest, 7 real numbers x_1, x_2, ..., x_7 satisfy |x_1| + |x_2| + ... + |x_7| = 1. Let (c_2, c_3, ..., c_7) = (5, 4, 3, 2, 4, 4), and define
D = |x_1| + \sum_{k=2}^{7} |c_k(x_1 + x_2 + ... + x_{k-1}) - x_k|.
Let M be the maximal possible value of 1/D over all such real sequences (x_i). Compute M modulo 939.",549
42_prompt01_s01,"You are given n = 5. Consider real vector x = (x_1, ..., x_n) satisfying sum_{i=1}^n c_i x_i^2 = 1, and a strictly positive vector y = (y_1, ..., y_n) with sum_{i=1}^n a_i y_i = 18.13322558634304. Here the positive weights are c_i listed as [1, 1, 3, 5, 5] and a_i listed as [4, 2, 2, 2, 5]. Let d be the minimal possible value of max_i |y_i - x_i| over all feasible x and y. Determine the largest integer less than 1600 * d.",1378
43_prompt01_s01,"In a math contest, 10 students are to be analyzed via a symmetric 10×10 binary matrix A (entries 0 or 1) with zero diagonal. Each row of A has exactly 8 ones. Additionally, A satisfies the spectral identity A^2 + 2·A = a matrix whose every entry equals 8. Under these conditions, determine the number of such matrices A. (Equivalently, count the number of ways the 10 labeled students can be split into 5 equally-sized hidden teams of size 2 so that edges connect students from different teams only, consistent with the matrix equation above.)",945
44_prompt01_s03,"Let F_115063617043 be the finite field with q=115063617043 elements, where q=163^{ {m} }. Define W to be the smallest set of polynomials with coefficients in F_115063617043 satisfying all of the following: (i) the m translation polynomials x+t_1, x+t_2, ..., x+t_m are in W, where t_1, ..., t_m form an F_163-basis of F_115063617043; (ii) for each of r=3 indices i among {1,2,...,m}, the unique degree-<q polynomial over F_115063617043 that, as a function on F_115063617043, swaps a and a+t_i (for a fixed but arbitrary a in F_115063617043) and fixes every other field element is in W; (iii) whenever h_1,h_2 are in W, the remainder of h_1(h_2(x)) modulo x^115063617043-x is also in W. Let N be the number of distinct polynomials in W modulo x^115063617043-x. How many consecutive zeros are there at the end of the base-1470000 representation of N?",7191444514
45_prompt03_s03,"For each real x in [0,1), define f(x) = sum_{n=1}^∞ 2^{-n} over those n for which floor(n x + 6/7) modulo 7 lies in the residue set [[0, 1, 3, 4, 5]]. Let L_max be the largest real number such that f(x) ≥ L for all x ∈ [0,1). Determine the largest integer strictly less than 1000 · L_max.",618
46_prompt01_s03,"Consider ordered integer pairs (a, b) satisfying a^2 + 2 b^2 ≤ 168. Suppose there exist positive real numbers x and y such that a/√x + 5/(y + 5 x) = 1 and b/√y − 5/(y + 5 x) = 1. Let N be the number of such ordered pairs (a, b). Compute N^2.",28224
47_prompt01_s01,"Let 9 be a fixed integer and let s = 17/12 be a rational number with 0 < s < 2. Determine the minimal integer C such that for every positive integer n and all real numbers x_0, x_1, ..., x_n, the inequality

Sum_{0 ≤ i,j ≤ n} 9^{i+j+1} * binom(i+j, i) * x_i * x_j + Sum_{0 ≤ i ≤ n} (9 * 17/12)^i * x_i ≥ - C / 8489

holds.",286
48_prompt02_s01,"In a math contest, 47 distinct positive integers \(a_1<a_2<\cdots<a_{47}\) have total sum 3331. For \(1\le k\le 46\), define
\[
b_k=\min(a_1+a_2+\cdots+a_k,\ a_{k+1}+a_{k+2}+\cdots+a_{47}).
\]
Let \(S\) be the maximum of \(b_k\) over all such \(k\). Among all valid sequences \((a_i)\), determine the minimal possible value of \(S\).",1081
49_prompt01_s01,"In a math contest, a 502×502 number table must be filled with the integers 1, 2, ..., 252004, each used exactly once. For every pair of numbers that lie in the same row or the same column, take the ratio of the larger to the smaller. The smallest of all these ratios is called the characteristic value of the table. Among all possible such fillings, let the maximum possible characteristic value be λ = α/β in lowest terms. Compute α + β.",1005
5_prompt01_s02,"In a math contest, consider all integers k in the interval [2, 3226]. For fixed parameters r = 2 and modulus m = 5, call a triple (n, a, b) admissible if: n is odd and has exactly r distinct prime factors; each prime factor of n is congruent to 1 modulo m and also divides k; gcd(a, b) = 1; a + b = k; and n divides a^n + b^n. How many integers k in [2, 3226] make the set of admissible triples finite?",3182
50_prompt01_s05,"On a circle of radius 1/12, a regular 20-gon is inscribed. The polygon is rotated so that one vertex lies at an angle of 1.626215 degrees from the positive x-axis. Let E and F be points on the circle such that the central angle ∠EOF equals 2×(223/6) degrees, and the midpoint direction of arc EF is aligned with the positive x-axis. For a point M ranging over all points on the edges (line segments) of the polygon, define S as the minimum possible value of the Euclidean dot product between vectors MF and ME. Compute the value of ceil(35566 × (−S)).",81
51_prompt01_s01,"Let 136 be a fixed positive integer with 136 >= 6. For any non-empty finite subset S of {1,2,...,136}, define the weighted mean f_w(S) = (sum_{x in S} x^2) / (sum_{x in S} x). Consider all ordered pairs (A, B) of disjoint non-empty subsets with A ∪ B = {1, 2, ..., 136}, 1 ≤ |A| ≤ 136-2, and 2 ≤ |B| ≤ 136-1. For any p in B, define A_p = A ∪ {p} and B_p = B \ {p}. Over all choices of (A, B) satisfying the conditions and all p in B, determine the maximum possible value of (f_w(A_p) − f_w(A)) · (f_w(B_p) − f_w(B)). If the maximum can be expressed as an irreducible fraction u/v, report u + v.",125471413
52_prompt01_s01,"Consider a regular 5-simplex with side length 7/4. A rigid ball moves freely inside it. The center of the ball must remain at least c_i times the inradius of the simplex away (perpendicularly) from the i-th face F_i, for each i = 1, 2, ..., 5+1, where the multipliers (c_1, ..., c_{dimension+1}) are given by 5/7, 1/8, 3/8, 1/5, 1/4, 5/8. Let V be the 5-dimensional volume of the set of all reachable positions of the center. Compute floor(1 / V^2).",34827
53_prompt01_s01,"In a math contest, the committee fixes an exponent 270. Determine the minimal positive integer n ≥ 306 for which there exists a bijection f: {1, ..., n} → {1, ..., n} satisfying both of the following for all x, y in {1, ..., n}: (i) If n divides 270·x − y, then n+1 divides f(x)^{ 270 } − f(y). (ii) If n divides x + y, then n+1 divides f(x)·f(y) − 1. Find n.",306
54_prompt01_s01,"In a math contest, let n = 892 and k = 3. For each integer i with 1 ≤ i ≤ n − 1, define f(i) = i^k / (i^k + (n − i)^k). Let D be the following set of positive divisors of n: 1, 2, 4, 223. For each d in D, assign an even weight w(d) as follows: 1:6, 2:10, 4:12, 223:8. Consider the weighted sum T = sum over all integers i with 1 ≤ i ≤ n − 1 and gcd(i, n) ∈ D of w(gcd(i, n)) · f(i). Compute the exact value of T.",3782
55_prompt03_s03,"In a math contest, non-negative reals x, y, z satisfy 12x^2 + 10y^2 + 2z^2 = 1. For each i = 1, ..., 6, define f_i as the maximal value of 4(p_i·xy + q_i·xz) under this constraint. The sequences (p_i), (q_i), and weights (w_i) are given respectively by 9, 7, 7, 9, 2, 5, 8, 6, 3, 2, 4, 3, and 2, 11, 12, 8, 1, 4. Find the largest integer no more than S = \sum_{i=1}^6 w_i f_i^2.",187
56_prompt01_s05,"Let I_n(a,k,q)=∫_0^{π/q} [sin^2(nt)]/[sin t + a·sin(kt)] dt, where a, k, q are positive integers and k is odd. Compute ⌊2226 · lim_{n→∞} (I_n(a,k,q)/log_2 n)⌋ for the specific parameters a=3, k=5, q=8.",48
57_prompt01_s01,"In a math contest, 3 students are assigned positive real weights x_1, ..., x_3. Let S = x_1 + ... + x_3. Fix rational parameters r = 2/3 with 0 < r < 1 and c = 23/10. Determine the minimal integer k such that, for all choices of positive x_i, the inequality sum_{i=1}^3 x_i / (x_i + c S)^{r} ≤ (k / 2000) * S^{1 - r} holds.",1049
58_prompt01_s02,"In a math contest, 2313 students each hold one cookie of every one of 69 distinct shapes. For every student i there is a single preferred shape p_i. The mass of the cookie of that preferred shape is h, while the mass of each of the other 69 − 1 cookies is the same value l = 1/1359. All students share the same h and l, with h and l positive and satisfying h + (69 − 1)·l = 1 and h > l. You must select exactly one cookie from each student. If a student is assigned to their preferred shape, that student contributes mass h to that shape’s total; if assigned to any non-preferred shape, they contribute mass l to that shape’s total.

Let C be the smallest positive real number such that, no matter how the preferred shapes p_i are arranged among the 69 shapes, it is always possible to select one cookie from each student so that, for every shape, the total mass of the selected cookies of that shape does not exceed C. Write C in simplest fractional form q/p and report p + q.",1394
59_prompt01_s01,"Let S = {1,2,...,2960} and define the reflection map φ(x) = 2960+1 - x. Fix 4, a power of two. Let M be the number of bijections f: S → S such that for every a ∈ S, one has f^[4](a) + f^[-4](a) = 2960+1, where f^[k] denotes the k-fold iterate of f (and f^[-k] = (f^{-1})^[k]). Determine the largest integer k such that 2^k divides M.",2035
6_prompt01_s01,"In a math contest, 147 real numbers a_1, a_2, ..., a_147 satisfy the cyclic Lipschitz condition |a_i - a_{i+1}| ≤ 1 for all 1 ≤ i ≤ 147, where a_{148} := a_1, and the global sum constraint a_1 + a_2 + ... + a_147 = 3. Let p = 25 and m = ⌊147/p⌋ = 5, and consider the arithmetic progression of indices {p, 2p, 3p, ..., mp} = {25, 50, 75, 100, 125}. Define F = a_p + a_{2p} + ... + a_{mp} = a_25 + a_50 + a_75 + a_100 + a_125. Determine the maximum possible value of F, rounded to 10 decimal places.",43.4217687075
60_prompt01_s01,"Consider a cyclic sequence of 5587 real numbers a_1, a_2, ..., a_5587. Fix a step size 774 with 1 <= 774 < 5587, and interpret indices modulo 5587. Define the set of pair-sums S_774 = { |a_i + a_{i+774}| : i = 1, 2, ..., 5587 }. Determine the smallest positive integer t such that for every choice of the reals a_1, ..., a_5587, the inequality max_{1 <= i <= 5587} |a_i| <= t * max S_774 always holds.",2794
61_prompt01_s05,"Let 2979 and 2259 be positive integers. Consider two sequences of positive real numbers x_1, x_2, ..., x_2979 and y_1, y_2, ..., y_2259. Define M to be the minimal possible value of max{x_1, 1/x_1 + x_2, 1/x_2 + x_3, ..., 1/x_{n-1} + x_2979, 1/x_2979 + 1}, and define N similarly for the y-sequence: N is the minimal possible value of max{y_1, 1/y_1 + y_2, ..., 1/y_{m-1} + y_2259, 1/y_2259 + 1}. Suppose a monic self-reciprocal polynomial F(x) with integer coefficients is divisible by both quadratics x^2 - M x + 1 and x^2 - N x + 1. Determine the minimal possible degree of F(x).",6692
62_prompt01_s02,"On a circular table with 73 seats arranged in a cycle, the integers 1, 2, ..., 73 are placed one per seat. Two seats are considered adjacent if they are next to each other on the circle. Let S be a real number such that, for every pair of adjacent seats, the sum of the two integers written on them is at least S. Determine, in terms of 73, the maximum possible value of S under an optimal arrangement.",73
63_prompt01_s01,"Consider all complex roots $z$ (counting multiplicity) of the equation
\[
z^{101}+14z^{100}+6=0.
\]
How many of these roots are non-real and lie strictly inside the unit circle $|z|<1$?",100
64_prompt01_s01,"Let P(x) and Q(x) be distinct real polynomials of degree 554 whose coefficients of x^0, x^1, ..., x^554 are all nonzero. Let r be the total multiplicity of their common real roots, and let s be the number of indices j in {0,1,...,554} for which the coefficient of x^j in P equals the coefficient of x^j in Q. Determine the maximum possible value of r + s.",830
65_prompt01_s04,"A regular 11-gon is partitioned into 11 labeled sectors 1,2,...,11 around its center. You have 5 available colors labeled 1 through 5, and you must color each sector with exactly one color, subject to these constraints:
1) Cyclic distance constraint: any two sectors whose circular index distance is at most 2 must have different colors.
2) Adjacent-pair ban: for adjacent sectors (distance 1), none of the unordered color pairs in (2,4) may appear on the two sectors (in either order). Pairs not listed are allowed provided the colors are distinct.
3) Exactly 4 distinct colors must be used overall.
4) The color of sector 1 is fixed to be 5.
All colorings are counted as distinct (no symmetry quotienting). How many valid colorings are there?",948
66_prompt02_s04,"In a math contest, 181 observers stand at the vertices of a regular 181-gon inscribed in a circle. For each observer i, you may choose a clockwise viewing angle theta_i (in degrees), with 0 <= theta_i <= 175. The viewing sector for observer i is a wedge of angle theta_i whose bisector is aligned with the clockwise tangent at i; observer i sees exactly those other vertices lying strictly within that clockwise arc (including points exactly on the wedge boundaries). Let a_i be the number of other observers seen by observer i. Subject to the global budget constraint sum_{i=1}^181 theta_i <= 7344, determine the maximum possible value of sum_{i=1}^181 a_i.",3692
67_prompt01_s01,"On a cyclic board labeled 1 through 46, define the relation x ≻_{t} y to mean the clockwise modular distance from y to x (taken modulo 46) lies in {1,2,...,t}. Given an integer 5 and a threshold vector [17, 35, 17, 32, 38] = (t_1, t_2, ..., t_5), count the number of k-tuples (x_1, x_2, ..., x_5) with each x_i in {1,2,...,46} such that for every i = 1, 2, ..., 5-1, x_i ≻_{t_list[i-1]} x_{i+1}, and also x_5 ≻_{t_list[5-1]} x_{1}. Return the exact integer count.",11984702
68_prompt01_s01,"In a math contest, 2296 real numbers x_1,...,x_2296 are chosen so that each lies in [-8,3] and x_1+...+x_2296 = -14072. Determine the exact maximum possible value of x_1^8 + x_2^8 + ... + x_2296^8.",31963155526
69_prompt01_s05,"A rectangle is subdivided by drawing some number of full-length vertical lines and some number of full-length horizontal lines, all parallel to the rectangle's sides, producing a rectangular grid with exactly 1428 small rectangles (i.e., there exist nonnegative integers v,h with (v+1)(h+1)=1428). Nodes are the grid intersections and fundamental line segments are the minimal side segments of the grid between consecutive nodes. Let H be the number of horizontal fundamental segments and V be the number of vertical fundamental segments. For given positive integers 9 and 5, define W = 9·H + 5·V. Among all such grid subdivisions producing exactly 1428 small rectangles, determine the sum of the maximum possible value of W and the minimum possible value of W.",53348
7_prompt01_s04,"On a square grid with 18 rows and 18 columns, you place black stones on some cells. Determine the minimum number of stones needed to guarantee that every axis-parallel 6×6 square subgrid contains at least one black stone. Equivalently, there is no 6×6 contiguous empty block anywhere on the board. Give your answer as an integer.",9
70_prompt01_s01,"Let G be a simple graph on 272 vertices. For every vertex u, there exists a neighbor v such that u and v have no common neighbors (i.e., N(u) ∩ N(v) = ∅). In addition, require that the collection of such ""witness"" edges can be chosen to be pairwise vertex-disjoint (so there is a matching M consisting entirely of triangle-free edges, and every vertex is incident to some edge in M). Among all such graphs, determine the maximal possible number of edges.",18496
