question,answer
Let $Q(k) = 26k^2 + 36k + 6$. Compute the value of $3 \cdot \cot\left(\sum_{k={m}}^{{n}} \cot^{-1}(Q(k))\right)$.,784
Let $Q(x) = (x^2+6x)^2$. Find the product of all real solutions to the equation $Q(x)+19 = 8\sqrt{Q(x)+{C}}$.,105
"Let $S_0$ be a unit square. Its sides are divided into $n_1$ equal parts. A smaller square, $S_1$, is constructed inside $S_0$ by drawing four lines. Each line connects a vertex of $S_0$ to a division point. For each vertex $V$ of $S_0$, the corresponding division point lies on one of the sides not adjacent to $V$. The point is the $2$-th division point counting from the vertex opposite to $V$. The four division points are chosen such that the resulting four lines possess 90-degree rotational symmetry. This process is iterated: inside $S_1$, a new square $S_2$ is constructed using the same method, but with parameters $n_2$ and $m_2=3$. It is given that $n_1$ is a multiple of $2$ and $n_2$ is a multiple of $3$, and that $n_1 > 2$ and $n_2 > 3$. If the area of the square $S_2$ is $\frac{1}{{{K}}}$, find the sum of all possible values of $n_1 + n_2$.",40
"Three identical rhombi, each with side length 14, are each cut into two pieces, a triangle and a pentagon, by a line segment joining the midpoints of two adjacent sides that meet at an angle of 75 degrees. These six pieces are then attached to the sides of a regular hexagon, with triangles and pentagons alternating, and folded to form a convex polyhedron. What is the volume of this polyhedron?",1372
"Let $a, b, c$ be positive real numbers that satisfy the following system of equations:
\[
\begin{cases}
\log_{{B1}} a + \log_{{B2}} b + \log_{{B3}} c = 12 \\
\log_{{B1}} b + \log_{{B2}} c + \log_{{B3}} a = 5 \\
\log_{{B1}} c + \log_{{B2}} a + \log_{{B3}} b = 8
\end{cases}
\]
Find the value of the product $abc$.",1073741824
"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 572$

$\log_{x_1 x_3 x_4} w = 440$

$\log_{x_1 x_2 x_4} w = 715$

$\log_{x_1 x_2 x_3} w = 520$

What is the value of $\log_{{target_prod}} w$?",1144
Let $S$ be the set of positive integers $\{ {s_coeffs} \}$. A function is defined as $f(x) = \sum_{c \in S} \lfloor c x \rfloor$. How many distinct values does $f(x)$ take modulo $40$ as $x$ ranges over all real numbers?,35
Let $S$ be the set of positive integers $\{ {s_coeffs} \}$. A function is defined as $f(x) = \sum_{c \in S} \lfloor c x \rfloor$. How many distinct values does $f(x)$ take modulo $45$ as $x$ ranges over all real numbers?,40
"Let $a, b, c$ be positive real numbers that satisfy the following system of equations:
\[
\begin{cases}
\log_{{B1}} a + \log_{{B2}} b + \log_{{B3}} c = 16 \\
\log_{{B1}} b + \log_{{B2}} c + \log_{{B3}} a = 8 \\
\log_{{B1}} c + \log_{{B2}} a + \log_{{B3}} b = 11
\end{cases}
\]
Find the value of the product $abc$.",1099511627776
"Let $S$ be the sum of the inverse cotangents of the numbers in the set $A = \{{arg_list}\}$. In other words, $S = \sum_{x \in A} \operatorname{arccot}(x)$. Find the value of $140\cot(S)$.",577
"Let the function $f(x)$ be defined as $f(x) = \frac{{{A}}\sin^2 x + {{C}}x^2 + {{B}}x\sin x}{x\sin x}$. Find the greatest lower bound of $f(x)$ for $x \in (0, \pi)$.",111
"Let $C = \{{coeffs_str}\}$ be a set of 5 positive integer coefficients. Let the function $f(x)$ be defined as $f(x) = \sum_{c \in C} \lfloor c x \rfloor$. How many integers in the set $\{1, 2, \dots, {L}\}$ can be expressed in the form $f(x)$ for some real number $x$?",1756
"An $n$-dimensional gemstone is in the shape of a simplex $S$. A gem cutter makes $n+1$ cuts, with each cut being parallel to one of the $(n-1)$-dimensional faces of $S$, and each cut associated with a different vertex. This process results in $n+1$ small simplices being cut from the corners of $S$. The geometry of the cuts is such that the original simplex $S$ is perfectly tiled by these $n+1$ corner pieces and the regions found between them. For a gemstone of dimension $n=4$, the volumes of the $n+1$ corner pieces were measured to be {$v_list}. Find the volume of the original gemstone $S$.",331776
"Let $a, b, c$ be positive real numbers that satisfy the following system of equations:
$$ \log_{{B1}} a^{{e1}} + \log_{{B2}} b^{{e2}} + \log_{{B3}} c^{{e3}} = 15 $$
$$ \log_{{B1}} b^{{e1}} + \log_{{B2}} c^{{e2}} + \log_{{B3}} a^{{e3}} = 22 $$
$$ \log_{{B1}} c^{{e1}} + \log_{{B2}} a^{{e2}} + \log_{{B3}} b^{{e3}} = 20 $$
Find the value of $abc$.",262144
"Let the function $f(x)$ be defined as $f(x) = \frac{{{A}}\sin^2 x + {{C}}x^2 + {{B}}x\sin x}{x\sin x}$. Find the greatest lower bound of $f(x)$ for $x \in (0, \pi)$.",111
"Three identical rhombi, each with side length 8, are each cut into two pieces, a triangle and a pentagon, by a line segment joining the midpoints of two adjacent sides that meet at an angle of 80 degrees. These six pieces are then attached to the sides of a regular hexagon, with triangles and pentagons alternating, and folded to form a convex polyhedron. What is the volume of this polyhedron?",256
"Find the minimum value of the expression
$$\frac{{{A}} + {{B}}\sin^4 x}{\sin^2 x}$$
for a real number $x$ in the interval $[\frac{\pi}{6}, \frac{5\pi}{6}]$.",56
"An ancient map shows a treasure's location relative to four landmarks $P_1, P_2, P_3, P_4$. The path from $P_1$ to $P_4$ is composed of three straight segments: $P_1P_2$ of length $8$ km, $P_2P_3$ of length $6$ km, and $P_3P_4$ of length $4$ km. The instructions state that one must turn $90^\circ$ at $P_2$ and again at $P_3$ (both turns in the same direction, say, right). The landmarks $P_1$ and $P_4$ are known to lie on a circle, which represents the boundary of a forbidden zone. The square of the radius of this zone is $45$ km$^2$. The treasure is buried at the center of this forbidden zone, and landmark $P_2$ is known to be inside the zone. Your GPS device is at landmark $P_2$. Find the square of the distance (in km$^2$) from your current location ($P_2$) to the treasure.",13
"An $n$-dimensional gemstone is in the shape of a simplex $S$. A gem cutter makes $n+1$ cuts, with each cut being parallel to one of the $(n-1)$-dimensional faces of $S$, and each cut associated with a different vertex. This process results in $n+1$ small simplices being cut from the corners of $S$. The geometry of the cuts is such that the original simplex $S$ is perfectly tiled by these $n+1$ corner pieces and the regions found between them. For a gemstone of dimension $n=4$, the volumes of the $n+1$ corner pieces were measured to be {$v_list}. Find the volume of the original gemstone $S$.",331776
"Let the function $f(x)$ be defined for $x \in [0, \pi/2)$ as
$$ f(x) = \frac{{A}(\sec x + \tan x)^2 + -2(\sec x + \tan x) + 8}{{D}(\sec x + \tan x) + 1} $$
Find the minimum value of $f(x)$.",7
"Let $w, x_1, x_2, x_3, x_4$ be real numbers, all greater than $1$. Suppose the following equations hold:

$\log_{x_2 x_3 x_4} w = 60$

$\log_{x_1 x_3 x_4} w = 110$

$\log_{x_1 x_2 x_4} w = 66$

$\log_{x_1 x_2 x_3} w = 55$

What is the value of $\log_{{target_prod}} w$?",165
"Three identical rhombi, each with side length 8, are each cut into two pieces, a triangle and a pentagon, by a line segment joining the midpoints of two adjacent sides that meet at an angle of 60 degrees. These six pieces are then attached to the sides of a regular hexagon, with triangles and pentagons alternating, and folded to form a convex polyhedron. What is the volume of this polyhedron?",256
Let $Q(k) = 34k^2 + 60k + 18$. Compute the value of $3 \cdot \cot\left(\sum_{k={m}}^{{n}} \cot^{-1}(Q(k))\right)$.,734
Let $S$ be the set of positive integers $\{ {s_coeffs} \}$. A function is defined as $f(x) = \sum_{c \in S} \lfloor c x \rfloor$. How many distinct values does $f(x)$ take modulo $39$ as $x$ ranges over all real numbers?,30
"An ancient map shows a treasure's location relative to four landmarks $P_1, P_2, P_3, P_4$. The path from $P_1$ to $P_4$ is composed of three straight segments: $P_1P_2$ of length $8$ km, $P_2P_3$ of length $6$ km, and $P_3P_4$ of length $4$ km. The instructions state that one must turn $90^\circ$ at $P_2$ and again at $P_3$ (both turns in the same direction, say, right). The landmarks $P_1$ and $P_4$ are known to lie on a circle, which represents the boundary of a forbidden zone. The square of the radius of this zone is $45$ km$^2$. The treasure is buried at the center of this forbidden zone, and landmark $P_2$ is known to be inside the zone. Your GPS device is at landmark $P_2$. Find the square of the distance (in km$^2$) from your current location ($P_2$) to the treasure.",13
Let $Q(k) = 17k^2 + 77k + 83$. Compute the value of $5 \cdot \cot\left(\sum_{k={m}}^{{n}} \cot^{-1}(Q(k))\right)$.,1353
"A mysterious function $f(x)$, defined for all real numbers, is known to exhibit strange symmetries. It is symmetric about the line $x=10$, satisfying $f(10+x) = f(10-x)$, but anti-symmetric about the point $(20, 0)$, satisfying $f(20+x) = -f(20-x)$. A spy has discovered that $x=-8$ is a root, i.e., $f(-8)=0$. What is the minimum number of roots that $f(x)=0$ must have in the interval $[-482, 482]$?",96
"Three identical rhombi, each with side length 20, are each cut into two pieces, a triangle and a pentagon, by a line segment joining the midpoints of two adjacent sides that meet at an angle of 80 degrees. These six pieces are then attached to the sides of a regular hexagon, with triangles and pentagons alternating, and folded to form a convex polyhedron. What is the volume of this polyhedron?",4000
"An $n$-dimensional gemstone is in the shape of a simplex $S$. A gem cutter makes $n+1$ cuts, with each cut being parallel to one of the $(n-1)$-dimensional faces of $S$, and each cut associated with a different vertex. This process results in $n+1$ small simplices being cut from the corners of $S$. The geometry of the cuts is such that the original simplex $S$ is perfectly tiled by these $n+1$ corner pieces and the regions found between them. For a gemstone of dimension $n=4$, the volumes of the $n+1$ corner pieces were measured to be {$v_list}. Find the volume of the original gemstone $S$.",331776
"In a math contest with an Algebra section and a Geometry section, there are 23 problems in Algebra and 20 in Geometry. A student's final score `s` is computed by the formula `s = 50 + 5*c_A + 9*c_B - 1*w`, where `c_A` and `c_B` are the numbers of correct answers in Algebra and Geometry, respectively, and `w` is the total number of wrong answers. Students are not penalized for problems left unanswered. Alex told Jordan his score, which was over 310. From this score, Jordan was able to uniquely determine the pair of values `(c_A, c_B)`. If Alex's score had been any lower, but still over 310, Jordan could not have determined this pair. What was Alex's score?",333
"Let $S_0$ be a unit square. Its sides are divided into $n_1$ equal parts. A smaller square, $S_1$, is constructed inside $S_0$ by drawing four lines. Each line connects a vertex of $S_0$ to a division point. For each vertex $V$ of $S_0$, the corresponding division point lies on one of the sides not adjacent to $V$. The point is the $2$-th division point counting from the vertex opposite to $V$. The four division points are chosen such that the resulting four lines possess 90-degree rotational symmetry. This process is iterated: inside $S_1$, a new square $S_2$ is constructed using the same method, but with parameters $n_2$ and $m_2=5$. It is given that $n_1$ is a multiple of $2$ and $n_2$ is a multiple of $5$, and that $n_1 > 2$ and $n_2 > 5$. If the area of the square $S_2$ is $\frac{1}{{{K}}}$, find the sum of all possible values of $n_1 + n_2$.",70
"Let $S_0$ be a unit square. Its sides are divided into $n_1$ equal parts. A smaller square, $S_1$, is constructed inside $S_0$ by drawing four lines. Each line connects a vertex of $S_0$ to a division point. For each vertex $V$ of $S_0$, the corresponding division point lies on one of the sides not adjacent to $V$. The point is the $3$-th division point counting from the vertex opposite to $V$. The four division points are chosen such that the resulting four lines possess 90-degree rotational symmetry. This process is iterated: inside $S_1$, a new square $S_2$ is constructed using the same method, but with parameters $n_2$ and $m_2=2$. It is given that $n_1$ is a multiple of $3$ and $n_2$ is a multiple of $2$, and that $n_1 > 3$ and $n_2 > 2$. If the area of the square $S_2$ is $\frac{1}{{{K}}}$, find the sum of all possible values of $n_1 + n_2$.",65
"Let $S_0$ be a unit square. Its sides are divided into $n_1$ equal parts. A smaller square, $S_1$, is constructed inside $S_0$ by drawing four lines. Each line connects a vertex of $S_0$ to a division point. For each vertex $V$ of $S_0$, the corresponding division point lies on one of the sides not adjacent to $V$. The point is the $1$-th division point counting from the vertex opposite to $V$. The four division points are chosen such that the resulting four lines possess 90-degree rotational symmetry. This process is iterated: inside $S_1$, a new square $S_2$ is constructed using the same method, but with parameters $n_2$ and $m_2=3$. It is given that $n_1$ is a multiple of $1$ and $n_2$ is a multiple of $3$, and that $n_1 > 1$ and $n_2 > 3$. If the area of the square $S_2$ is $\frac{1}{{{K}}}$, find the sum of all possible values of $n_1 + n_2$.",36
"Let $a, b, c$ be positive real numbers that satisfy the following system of equations:
\[
\begin{cases}
\log_{{B1}} a + \log_{{B2}} b + \log_{{B3}} c = 15 \\
\log_{{B1}} b + \log_{{B2}} c + \log_{{B3}} a = 8 \\
\log_{{B1}} c + \log_{{B2}} a + \log_{{B3}} b = 7
\end{cases}
\]
Find the value of the product $abc$.",150094635296999121
"Let $a, b, c$ be positive real numbers that satisfy the following system of equations:
$$ \log_{{B1}} a^{{e1}} + \log_{{B2}} b^{{e2}} + \log_{{B3}} c^{{e3}} = 40 $$
$$ \log_{{B1}} b^{{e1}} + \log_{{B2}} c^{{e2}} + \log_{{B3}} a^{{e3}} = 38 $$
$$ \log_{{B1}} c^{{e1}} + \log_{{B2}} a^{{e2}} + \log_{{B3}} b^{{e3}} = 20 $$
Find the value of $abc$.",476837158203125
"An $n$-dimensional gemstone is in the shape of a simplex $S$. A gem cutter makes $n+1$ cuts, with each cut being parallel to one of the $(n-1)$-dimensional faces of $S$, and each cut associated with a different vertex. This process results in $n+1$ small simplices being cut from the corners of $S$. The geometry of the cuts is such that the original simplex $S$ is perfectly tiled by these $n+1$ corner pieces and the regions found between them. For a gemstone of dimension $n=4$, the volumes of the $n+1$ corner pieces were measured to be {$v_list}. Find the volume of the original gemstone $S$.",331776
