id,question,answer
58,"There are 1269 participants and 51 categories of badges. Each participant has one badge of each category, and the total mass of their 51 badges is 6/5 (all individual masses are positive and may vary across participants). Let C be the smallest positive real number such that it is always possible to choose exactly one badge from each participant so that, for every category, the total mass of the chosen badges of that category does not exceed C. If C is expressed in lowest terms as q/p, find p + q.",1031
59,"Let S = {1,2,...,7292}. Count the bijections f:S→S satisfying that for every a in S, f(a) + f^{-1}(a) = 7293. If the number of such functions is M and M = 2^k n where n is odd, find k.",1823
6,"There are 80 real numbers x_1, x_2, ..., x_80 satisfying x_1 + x_2 + ... + x_80 = 0 and |x_i - x_{i+1}| ≤ 2.0 for all 1 ≤ i ≤ 80, with x_{80+1} = x_1. Let a = x_16, b = x_32, c = x_48, d = x_64, and e = x_80. Determine the maximum possible value of a + b + c + d + e.",40.0
60,"Let a_1, a_2, ..., a_6987 be arbitrary rational numbers. Find the smallest positive integer t such that max(|a_1|, |a_2|, ..., |a_6987|) ≤ t · max(|a_1 + a_2|, |a_2 + a_3|, ..., |a_6987 + a_1|) always holds.",3494
61,"Let x_1, x_2, ..., x_1767 be positive real numbers. Define M as the minimal possible value of max{ x_1, 1/x_1 + x_2, 1/x_2 + x_3, ..., 1/x_1767 + 1 }. Suppose a polynomial F(x) with integer coefficients is divisible by x^2 - M x + 1. Determine the minimal possible degree of F(x).",2340
62,Consider a 52×52 grid of unit cells. The integers 1 through 52×52 are placed into the cells so that any two adjacent cells (sharing a side) have a sum of at least S. What is the maximum possible value of S?,2679
63,Consider the complex equation 3z^{53} + 2z^{52} + 3 = 0 with real coefficients. How many solutions z are non-real complex numbers (counting multiplicities)?,52
64,"Let P(x) and Q(x) be distinct real polynomials of degree 2542, each having all coefficients non-zero. Define r as the number of their common real roots (counted with multiplicity), and let s be the number of identical monomial terms (same exponent and same coefficient) they share. What is the maximum possible value of r + s?",3812
65,A regular 4-gon is partitioned into 4 wedge-shaped sectors by drawing segments from the center to each vertex. You place exactly one ball into each sector using 5 available colors (infinitely many of each color). Adjacent sectors around the circle (including the wrap-around pair) cannot receive the same color. How many distinct placements are there in total? Rotations or reflections are NOT identified as the same.,260
66,"In a circular arena, 89 sentinels stand at distinct positions. Each sentinel has a fixed field of view that is a 240-degree wedge. The wedge's orientation must align with the arena's compass grid, which is marked in equal steps of 10 degrees. Sentinels see all other sentinels lying inside or on the boundary rays of their chosen wedge. For i = 1, 2, ..., 89, let a_i be the number of other sentinels the i-th can see. What is the maximum possible value of the sum Σ a_i?",7832
67,"Define a binary relation on {1,2,...,21} by writing x ≻ y if and only if 0 < x - y ≤ 10 or y - x > 10. How many ordered quadruples (a,b,c,d) with a,b,c,d ∈ {1,2,...,21} satisfy a ≻ b, b ≻ c, c ≻ d, and d ≻ a?",13860
68,"Let real numbers x_k lie in the interval [-5, 5] for k = 1, 2, ..., 4311, and suppose x_1 + x_2 + ⋯ + x_4311 = 0. What is the maximum possible value of M = x_1^3 + x_2^3 + ⋯ + x_4311^3?",134718.75
69,"The rectangle \(R\) is divided into 2024 small rectangles, and the sides of each small rectangle are parallel to the sides of \(R\). The vertices of the small rectangles are called nodes. A line segment on the sides of the small rectangles, if both of its endpoints are nodes and there are no other nodes inside it, is called a fundamental line segment. Considering all the ways of division, find the sum of the maximum value and the minimum value of the number \(N\) of fundamental line segments.",10211
7,"On a 9×9 lattice board, you can place black chips to prevent White from completing a 5-in-a-row. What is the minimum number of black chips required so that among the remaining empty squares (squares without a black chips, with at most one piece per square), there are no 5 consecutive empties in any rows/columns/diagonals?",16
70,"Let \(G\) be a 160-order simple graph. For any vertex \(u\), there exists another vertex \(v\), such that \(u\) and \(v\) are adjacent, and there exists no vertices adjacent to both \(u\) and \(v\). Find the maximal number of edges in \(G\).",10320
71,"From the integers 6 through 6 (inclusive), how many subsets can you choose so that no block of 2 consecutive integers is entirely included? The empty subset is allowed.",2
72,"Let Z/nZ denote the integers modulo n. Determine the 1-th smallest composite n for which there exists a bijection g: Z/nZ -> Z/nZ such that the 140 maps g(x) + kx (for k = 0, 1, ..., 140-1) are all bijections on Z/nZ.",22201
73,"The Bank of Pittsburgh issues coins that have a heads side and a tails side. Vera
has a row of 7873 such coins alternately tails-up and heads-up, with the leftmost
coin tails-up.
In a move, Vera may flip over one of the coins in the row, subject to the following
rules:
• On the first move, Vera may flip over any of the 7873 coins.
• On all subsequent moves, Vera may only flip over a coin adjacent to the coin
she flipped on the previous move. (We do not consider a coin to be adjacent
to itself.)
Determine the smallest possible number of moves Vera can make to reach a state in
which every coin is heads-up.",15743
74,"In the integer lattice consisting of all points (x, y) with 1 ≤ x ≤ 18046 and 1 ≤ y ≤ 18046, you wish to select as many points as possible under this rule: among the selected points, no four may form an isosceles trapezoid whose pair of parallel sides is parallel to either the x-axis or the y-axis (rectangles are also considered isosceles trapezoids). What is the maximum number of points you can select?",45113
75,"In the complete graph K_637, each edge is assigned a label from the set { 4, 6, 8 }. The labels are chosen so that for every triangle, the sum of its three edge labels is at least 16. Let the minimum possible average of all \binom{637}{2} edge labels be expressed in lowest terms as a fraction m/n. Compute m + n.",4457
76,"Let integers a_1, a_2, ..., a_1457 satisfy  a_1 = 4 ≤ a_2 ≤ ... ≤ a_1457 = 83. Define f = (a_1^2 + a_2^2 + ... + a_1457^2) − (a_1 a_3 + a_2 a_4 + ... + a_{1457-2} a_1457). Determine the minimal possible value of f.",5220
77,"Let S be the set of integers s with s ≥ 3946 such that there exist positive integers a, b, c, d satisfying a + b + c + d = s and s divides abc + abd + acd + bcd. Find the sum of the 11 smallest elements of S.",43471
78,caretaker manages a orchard grid where each cell must be either inked or unlit. Let x_n be the number of valid colorings of an n by n grid in which no two adjacent horizontally or vertically cells are both inked. Compute the sum of x_n from n = 3 to n = 6.,5655605
79,"We look at sequences (a_1, a_2, ..., a_55) where each a_i is either B or red. Define a ""reverse order"" to occur at an index k with 1 ≤ k < 55 when a_k = red and a_{k+1} = B. How many such sequences have exactly 16 reverse orders?",3167295784216200
8,"cadets sit for a assessment with 6 questions, each offering 3 choices. It is observed that for any two cadets, the number of questions where their answers coincide is either 0 or 2. What is the maximum possible number of cadets?",18
80,"Let real numbers x_1, x_2, ..., x_456 satisfy the constraints -1/sqrt(3) <= x_i <= sqrt(3) for all i, and x_1 + x_2 + ... + x_456 = -59 * sqrt(3). Define M as the maximum possible value of x_1^6 + x_2^6 + ... + x_456^6. Find the greatest integer less than or equal to M.",1879
81,"Let a1, a2, ..., a_m be m distinct positive integers whose total product has exactly 610 distinct prime factors. If the product of any nonempty subset of these integers is never a perfect 3-th power, determine the maximum possible value of m.",1220
82,"A circular track Track T has circumference 13688 and 1711 equally spaced marked points. These points are labeled X1, X2, ..., X1711 in some order, each label used exactly once. Xiao Ming starts at X1, then goes to X2, then X3, and so on up to X1711, and finally returns to X1. For each move from P to Q, Xiao Ming goes along the shorter of the two arcs between P and Q on Track T; if PQ is a diameter (which can only occur when 1711 is even), either semicircle may be taken. Over all possible labelings of the 1711 points, determine the maximum possible total length of the 1711 arcs traversed.",11703240
83,"Let f and g be functions from the nonnegative integers to themselves. Assume f(0) ≥ f(1) ≥ ... ≥ f(2016) ≥ 0 and f(0)+f(1)+...+f(2016) ≤ 2016. For any choice of 20 nonnegative integers n1, n2, ..., n20 (not necessarily distinct), we have g(n1+n2+...+n20) ≤ f(n1)+f(n2)+...+f(n20). Determine the maximum possible value of g(0)+g(1)+...+g(2016).",794430
84,Consider a 1972×532 grid G where each cell contains a real number. A rectangular sub-grid S is called outstanding if every cell in S has a value strictly greater than every cell outside S that shares a common vertex (diagonal corner contact) with S. The entire grid G also counts as an outstanding sub-grid. What is the maximum possible number of outstanding sub-grids?,525803
85,"Given positive integer \(n \geq 3\), \(x_1, x_2, \cdots, x_n \in[0,1]\), consider the set \(A=\left\{(i, j)\left|1 \leq i<j \leq n, i, j \in \mathbb{N}^*, i\right| j\right\}\), let \(d(n)\) be the maximum value of \(x_1^4+x_2^4+\cdots+x_n^4-\sum_{(i, j) \in A} x_i^3 x_j^3\). Find \(\sum_{k=3}^{2025} d(k)\).",1026167
86,"Consider a regular 25-prism. By connecting the face diagonals of each lateral face, 25 intersection points are generated, and then the lateral edges are removed. Now, we perform a three-coloring on these 25 intersection points and 50 vertices, where adjacent vertices cannot have the same color. Colorings that coincide after rotation around the central axis are regarded as the same kind. Find the number of coloring methods.",1342182
87,Call a positive integer k “good” if there exist positive integers a and b with a < b such that a^3 = (k a + 1) b + k. Find the sum of all good integers k that do not exceed 4242.,8999402
88,"Aisha places one coin on each vertex of a regular 3225-gon. In one move, he chooses a vertex, takes one coin from each adjacent vertex, puts one coin on the chosen vertex, and keeps the extra coin. A move is allowed only if both adjacent vertices have at least one coin. He stops when no further move is possible. Let N_max be the maximum number of coins he can collect and N_min the minimum. Compute 1000*N_max + N_min.",3224075
89,"On a 1837×613 grid, two pieces start in different random cells. Lucía moves the white piece first, then Carlos moves the black piece; they alternate thereafter. Each move is exactly one cell horizontally or vertically, and for the same piece the move directions must alternate between horizontal and vertical. If immediately after Carlos's move both pieces are in the same cell, Carlos wins; otherwise Lucía wins. Let p = m/n be the probability (in lowest terms) that Carlos has a winning strategy. Find m.",563040
9,Place m tiles of size 1×2 on a 7×7 grid so that no tile can slide horizontally or vertically with all other pieces fixed. Find the minimal positive value of m.,22
90,"Consider a convex 47-gon with side lengths x_1, x_2, ..., x_47, where each x_i is a positive integer and the perimeter is m. Let f(m) be the minimum possible value of the product x_1 x_2 ... x_47 over all such convex polygons with perimeter m. Compute the sum f(73) + f(73+1) + ... + f(90).",639
91,"At a party, the host wants to distribute 2025 pieces of cookies of the same size to \(n\) guests and follow the following two rules: (1) Each cookie can be divided into at most two parts (does not have to be equally divided). (2) The total amount of cookies received by each guest is equal. Find the sum of all positive integers \(n\) for which such a distribution method exists.",2085451
92,在一个 n×n 的棋盘上，初始每个小格都是 0。每次操作选择一对共享一条边的相邻小格，使这两个小格的数字都加 1。若经过若干次（至少 1 次）操作后，能使每一行与每一列的数字和都相同，记最少操作次数为 f(n)；否则 f(n)=0。求 ∑_{n=1377}^{3393} f(n)。,7217010
93,"For positive integer \(n\) and real numbers \(a_1, a_2, \ldots, a_n \in[-1,1]\). Let \(S=\sum_{i=1}^n a_i\) and \(f(n)\) be the maximum value of \(\sum_{i=1}^n\left|\frac{S-a_i}{n}-a_i\right|\). Find \(\sum_{k=1}^{225} kf(k)\)．",3847537
94,"Let nonnegative reals x_1, x_2, ..., x_2351 satisfy x_1 + x_2 + ... + x_2351 = 1. Consider the quantity S = m/n equal to the maximum of the double sum over 1 ≤ i, j ≤ 2351: ((3 i + 6) / (3 j + 6)) x_i x_j, with m and n coprime. Compute m + n.",1394743
95,"There are 5 cards labeled with consecutive positive integers starting at 4. The cards are uniformly randomly arranged in a row from left to right. Let a_i be the number on the i-th card (with i = 1, 2, ..., 5). Let the probability that a_i ≥ i + 0 holds for every i = 1, 2, ..., 5 be a/x in lowest terms. Compute a + x.",9
96,"Let A = {3, 3+1, ..., 3+12-1}. Consider a bijection f: A → A with no fixed points (i.e., f(x) ≠ x for all x ∈ A). Define f_1(x) = f(x) and f_{t+1}(x) = f(f_t(x)). If for every x ∈ A we have f_35(x) = x, how many such mappings f exist?",13685760
97,"There are 13958 stacks labeled T_1, T_2, ..., T_13958. Initially, stack T_k contains k coins for each k = 1, 2, ..., 13958. One move consists of choosing an ordered pair (i, j) with 1 ≤ i < j ≤ 13958, such that both chosen stacks are nonempty and the pair (i, j) has not been chosen before. If the stacks currently contain a and b coins, respectively, then gcd(a, b) coins are removed from each. What is the maximum number of moves that can be made?",48706441
98,"From an unlimited supply of 4 colors of balls (indistinguishable except for color), select 20 balls and arrange them in a row. The color purple is restricted so that no two purple balls are adjacent. How many distinct color sequences are possible?",393620574951
99,"In a directed network of 199 servers, every unordered pair has at least one directed link. Exactly 199 pairs are connected by two-way links (both directions), and all other pairs have a single one-way link. Call a set of 4 servers mutually-connected if, using only links among those 4 servers, one can move from any server in the set to any other server in the set. What is the maximum possible number of such mutually-connected sets?",33124147
